연도,월,설화명곡,화원,대곡,진천,월배,상인,월촌,송현,서부정류장,대명,안지랑,현충로,영대병원,교대,명덕1,반월당1,중앙로,대구역,칠성시장,신천,동대구역,동구청,아양교,동촌,해안,방촌,용계,율하,신기,반야월,각산,안심,문양,다사,대실,강창,계명대,성서산업단지,이곡,용산,죽전,감삼,두류,내당,반고개,청라언덕2,반월당2,경대병원,대구은행,범어,수성구청,만촌,담티,연호,대공원,고산,신매,사월,정평,임당,영남대,칠곡경대병원,학정,팔거,동천,칠곡운암,구암,태전,매천,매천시장,팔달,공단,만평,팔달시장,원대,북구청,달성공원,서문시장,청라언덕3,남산,명덕3,건들바위,대봉교,수성시장,수성구민운동장,어린이세상,황금,수성못,지산,범물,용지
1999,09,0,0,0,87723870,50125850,110533080,59418480,54482900,140613270,34891050,40673050,36247650,57317450,40467450,59766410,72023870,267146510,49283000,53614410,63287570,109634060,52310680,56710770,17376110,34245060,41855990,20433050,24400550,57289580,37830110,5924250,64182450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,10,0,0,0,94352630,54369100,121702710,65148930,58259950,152208370,38451700,43659650,39110950,58632060,43803550,62705200,77055340,283234440,53008160,56073320,68374150,120488820,54781710,62860280,18479000,36316050,44358130,22817400,25399200,60324350,39371110,7077550,64639530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,11,0,0,0,90906890,52202540,130992220,62469460,57901950,143981900,36880750,42542200,39619190,59776700,42600750,63195490,72685590,279216340,51002750,54875010,67332850,116264840,52954460,61911110,18115100,35465170,44291650,22143350,25538500,57951330,37500350,5992300,64439610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,12,0,0,0,92901600,53862740,130586400,63049720,60664410,152163810,38618400,44628600,42346700,56649730,43610300,62619100,73940820,324429350,54269420,56107820,68094780,125444680,55002900,60581700,18003900,36403500,44938870,22487000,25159650,60254170,36509910,6423100,58843900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,01,0,0,0,87908750,50419150,119541240,59511720,57244820,145307590,36625000,43139540,37090580,56378620,37411200,57832970,71697960,306018740,52951970,52077410,62294900,123576300,50977050,54371670,16505050,33061290,42452230,20080050,22499050,54359710,31878070,5412800,44429700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,02,0,0,0,84370560,49421220,118262220,60184930,55337870,144759220,34972300,41184000,35224120,50561970,35547100,53046600,67167900,305174160,49261210,50370330,59776750,118603000,49119000,53934110,15816290,32069300,40551900,20093400,22423650,53118470,30208300,5186000,44817100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,03,0,0,0,94867550,55852870,136745600,74122920,62490750,149505070,38306850,45158100,40778900,68636970,49042050,67146450,80452900,299263200,46817300,59365470,73905350,120887500,59590300,63151440,17450950,36178840,45504090,24270300,26416030,60436030,39120070,6364150,82413400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,04,0,0,0,91326450,51296700,133739720,66920460,57028550,148879440,36548750,42963300,38269750,62185800,43825150,63204600,74383580,288942290,44173790,57256600,67923300,122907360,52787200,61974240,17394000,35010960,43151810,22991000,24777650,57369890,36826460,6139650,69234760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,05,0,0,0,107383780,62399660,147456870,79699550,67537620,173879720,43378720,51056740,44051750,71108200,52797500,73632520,89701370,344314430,52788510,64551740,79964630,146631140,63850800,73989380,21557200,40647430,51364230,27043150,28762230,69508680,43608730,7255300,77241570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,06,0,0,0,98247270,57082080,133904530,70865160,59890900,151117920,40204650,45548590,39637920,63366400,45503780,64509550,81155880,301871500,45486000,58559950,73099540,127999830,57247160,64599310,18723160,37469380,47923250,24634300,26442450,62314200,37490110,6678400,61169330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
